PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
223761953,20056816,0,2020-03-22T18:34:00,"1000 Block Steuben St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,,,0,0
223762928,20056883,29,2020-03-22T21:00:00,"2200 Block Somers Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,509,6,3,-79.9755889365866,40.4494256477235
223763360,20056913,14,2020-03-22T21:47:00,"1500 Block Kenberma Ave Pittsburgh, PA 15216",N,Beechview,6,CRIM MISCHIEF,3304 Criminal Mischief.,1916,4,5,-80.021905306571,40.410998254949
223834602,20057400,0,2020-03-23T17:25:00,"1900 Block Lowrie St Pittsburgh, PA 15212",Y,Troy Hill,1,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,2406,1,1,-79.9811975833752,40.4657408596982
-3253007727,20057711,99,2020-03-24T04:08:00,"1800 Block Harcum Way Pittsburgh, PA 15203",Y,South Side Flats,3,NOISE COMPLAINT - CITATION,9132 Noise Complaint - Citation / 601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A),1702,,,0,0
224612977,20068946,10,2020-04-11T13:40:00,"7000 Block Hermitage St Pittsburgh, PA 15208",Y,Homewood North,5,HARRASSMENT,2709(a) Harassment.,1301,9,2,-79.899994646474,40.4612785483683
224623156,20069656,0,2020-04-12T20:49:00,"600 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,3714 Careless Driving,201,6,6,-80.0016237646793,40.4417809547139
224628313,20069787,0,2020-04-13T04:06:00,"1700 Block Crestline St Pittsburgh, PA 15221",N,East Hills,5,99,607.03 Discharging Firearm or Airgun,1306,9,2,-79.876567803549,40.4498065167308
-3293005723,20069473,99,2020-04-12T13:31:00,"600 Block Avery St Pittsburgh, PA 15212",N,East Allegheny,1,FOUND PROPERTY,9489 Found Property,2304,7,2,-79.9359882812368,40.4898836170024
224575211,20068400,0,2020-04-10T14:31:00,"Madison Ave & East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,99,3714 Careless Driving,2304,1,1,-79.9968201151915,40.4541641358911
224577000,20068479,26,2020-04-10T17:30:00,"700 Block Clarissa St Pittsburgh, PA 15219",N,Upper Hill,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,506,6,3,-79.9615039524958,40.4541797733823
224583634,20068682,10,2020-04-11T01:00:00,"Penn Ave & 14th St Pittsburgh, PA 15222",Y,Strip District,2,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 607.03 Discharging Firearm or Airgun,203,7,6,-79.9898449208326,40.447361988756
-3296004353,20068859,27,2020-04-09T11:59:00,"300 Block Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,405,3,3,-79.9577063860126,40.4383720870111
